Id,Designator,Package,Quantity,Designation,,,,,,,,Danh sách SP,,,,
36,R16,R_0805_HandSoldering,1,4.7k-1%,,,,,,,,,,,,
60,C2,C_Rect_L7_W2.5_P5,1,4.7nF,,,,,,,,,,,,
68,C7,C_Rect_L7_W2.5_P5,1,470pF50V,,,,,,,,,,,,
64,C6,C_Rect_L7_W2.5_P5,1,471 2kv,???,,,,,,,,,,,
58,R8,Resistor_Horizontal_RM15mm,1,47k-2W,,,,,,,,,,,,
5,C9,C_Radial_D6.3_L11.2_P2.5,1,47uF50V,,,,,,,,,,,,
73,R24,Resistor_Horizontal_RM7mm,1,49.9k-1%,???,,,,,,,,,,,
72,R23,Resistor_Horizontal_RM7mm,1,56k-1%,,,,,,,,,,,,
63,R3,Resistor_Horizontal_RM15mm,1,56R-2W,,,,,,,,,,,,
52,TH1,R3,1,5D-11,,,,,,,,,,,,
53,TH2,R3,1,5D-13,,,,,,,,,,,,
4,C5,C_Radial_D18_L36_P7.5,1,68uF400V,,,,,,,,,,,,
39,R20,R_0805_HandSoldering,1,7.5k,???,,,,,,,,,,,
59,R1,R_0805_HandSoldering,1,8.2k,,,,,,,,,,,,
17,D17,Diode_TO-220_Dual_CommonCathode_Vertical,1,BT151,,,,,,,,,,,,
13,D11,LED-5MM,1,charging,,,,,,,,,,,,
15,D14,Diode_DO-35_SOD27_Horizontal_RM10,1,D_Z 12V,,,,,,,,,,,,
16,D16,Diode_DO-35_SOD27_Horizontal_RM10,1,DIAC-DB3,,,,,,,,,,,,
23,P3,Molex_KK-6410-02_02x2.54mm_Straight,1,FAN,,,,,,,,,,,,
9,"D2,D13",Diode_DO-41_SOD81_Horizontal_RM10,2,FR207,,,,,,,,,,,,
18,F1,Fuseholder5x20_horiz_open_inline_Type-I,1,Fuse-2A,,,,,,,,,,,,
69,F2,Fuseholder5x20_horiz_open_inline_Type-I,1,Fuse-5A,,,,,,,,,,,,
19,"HS1,HS2",heatsink-D03PA,2,Heatsink,,,,,,,,,,,,
21,P1,MountingHole_2.2mm_M2_DIN965_Pad,1,IN1,,,,,,,,,,,,
22,P2,MountingHole_2.2mm_M2_DIN965_Pad,1,IN2,,,,,,,,,,,,
56,U3,DIP-8_W7.62mm_LongPads,1,LM358,,,,,,,,,,,,
62,D6,Diode_TO-220_Vertical,1,MUR860,,,,,,,,,,,,
1,P4,MountingHole_2.2mm_M2_DIN965_Pad,1,OUT-,,,,,,,,,,,,
24,P5,MountingHole_2.2mm_M2_DIN965_Pad,1,OUT+,,,,,,,,,,,,
55,U2,DIP-4_W7.62mm,1,PC817,,,,,,,,,,,,
14,D12,LED-5MM,1,power,,,,,,,,,,,,
50,RV2,Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp,1,RV-1k,,,,,,,,,,,,
26,Q3,TO-220_Neutral123_Vertical,1,TIP122,,,,,,,,,,,,
11,"D4,D15",TO-92_Inline_Wide,2,TL431LP,,,,,,,,,,,,
74,Q1,SOT-23,1,tran-S8050,,,,,,,,,,,,
54,U1,DIP-8_W7.62mm_LongPads,1,UC3842,,,,,,,,,,,,
